date,time,total_games,wins,draws,avg_time
14/07/2020,18:22,0,0,0,0
25/03/2023,16:18,100,5,2,0.8
25/03/2023,16:19,200,12,9,0.9
25/03/2023,16:21,300,3,6,0.9
25/03/2023,16:22,400,4,7,0.9
25/03/2023,16:24,500,4,5,0.9
25/03/2023,16:26,600,8,4,0.9
25/03/2023,16:27,700,8,4,0.9
25/03/2023,16:29,800,7,6,0.9
25/03/2023,16:30,900,9,7,0.9
25/03/2023,16:32,1000,8,6,1.2
25/03/2023,16:34,1100,4,5,1.3
25/03/2023,16:37,1200,7,9,1.6
25/03/2023,16:39,1300,9,11,1.2
25/03/2023,16:41,1400,8,9,1.0
25/03/2023,16:42,1500,5,9,0.9
25/03/2023,16:44,1600,13,9,0.9
25/03/2023,16:45,1700,10,8,0.9
25/03/2023,16:47,1800,9,6,1.0
25/03/2023,16:49,1900,7,9,0.9
25/03/2023,17:00,2000,7,8,6.9
25/03/2023,17:01,2100,4,6,0.6
25/03/2023,17:03,2200,6,9,0.9
25/03/2023,17:04,2300,8,14,0.9
25/03/2023,17:06,2400,7,7,0.9
25/03/2023,17:08,2500,9,6,1.2
25/03/2023,17:10,2600,6,10,1.1
25/03/2023,17:11,2700,8,9,1.1
25/03/2023,17:13,2800,9,9,1.1
25/03/2023,17:15,2900,13,9,0.9
25/03/2023,17:18,3000,2,10,2.1
25/03/2023,17:21,3100,6,5,1.8
25/03/2023,17:24,3200,7,11,1.6
25/03/2023,17:27,3300,5,14,1.6
25/03/2023,17:29,3400,7,6,1.6
25/03/2023,17:32,3500,11,9,1.6
25/03/2023,17:43,3600,7,6,6.4
25/03/2023,17:44,3700,6,9,0.9
25/03/2023,17:47,3800,8,12,1.6
25/03/2023,17:59,3900,8,14,7.3
25/03/2023,18:01,4000,6,12,1.4
25/03/2023,18:04,4100,8,10,1.8
25/03/2023,18:08,4200,8,8,2.0
25/03/2023,18:11,4300,11,7,1.8
25/03/2023,18:13,4400,15,7,1.6
25/03/2023,18:16,4500,10,9,1.6
25/03/2023,18:19,4600,11,9,1.7
25/03/2023,18:22,4700,7,7,1.8
25/03/2023,18:25,4800,8,4,2.0
25/03/2023,18:28,4900,8,7,1.7
25/03/2023,18:31,5000,11,6,1.7
25/03/2023,18:34,5100,6,7,1.8
25/03/2023,18:36,5200,10,8,1.7
25/03/2023,18:40,5300,6,10,2.0
25/03/2023,18:43,5400,7,6,1.8
25/03/2023,18:46,5500,7,7,2.0
25/03/2023,18:50,5600,10,8,2.3
25/03/2023,18:53,5700,8,8,2.2
25/03/2023,18:57,5800,6,12,2.1
25/03/2023,19:00,5900,8,10,1.8
25/03/2023,19:02,6000,8,12,1.0
25/03/2023,19:03,6100,5,11,0.9
25/03/2023,19:04,6200,6,4,0.7
25/03/2023,19:06,6300,4,10,0.8
25/03/2023,19:07,6400,8,11,0.8
25/03/2023,19:08,6500,4,12,0.8
25/03/2023,19:10,6600,5,15,0.8
25/03/2023,19:11,6700,9,11,0.8
25/03/2023,19:12,6800,5,11,0.8
25/03/2023,19:14,6900,15,14,0.8
25/03/2023,19:15,7000,6,15,0.7
25/03/2023,19:36,7100,7,9,0.6
25/03/2023,19:37,7200,5,11,0.7
25/03/2023,19:38,7300,12,18,0.7
25/03/2023,19:40,7400,6,7,0.7
25/03/2023,19:41,7500,12,8,0.7
25/03/2023,19:42,7600,11,10,0.7
25/03/2023,19:43,7700,5,11,0.8
25/03/2023,19:45,7800,8,13,0.8
25/03/2023,19:46,7900,6,10,0.8
26/03/2023,12:11,8000,11,9,1.5
26/03/2023,12:13,8100,6,13,1.1
26/03/2023,12:14,8200,9,11,1.1
26/03/2023,12:16,8300,11,6,1.0
26/03/2023,12:18,8400,5,7,1.0
26/03/2023,12:19,8500,7,10,1.0
26/03/2023,12:21,8600,8,7,1.0
26/03/2023,12:23,8700,8,8,1.0
26/03/2023,12:25,8800,6,10,1.2
26/03/2023,12:26,8900,8,11,0.9
26/03/2023,12:29,9000,6,8,1.7
26/03/2023,12:31,9100,7,19,1.4
26/03/2023,12:34,9200,7,8,1.5
26/03/2023,12:37,9300,8,12,1.7
26/03/2023,12:39,9400,7,13,1.5
26/03/2023,12:41,9500,2,9,1.3
26/03/2023,12:43,9600,7,4,1.3
26/03/2023,12:46,9700,8,8,1.3
26/03/2023,12:48,9800,6,4,1.1
26/03/2023,12:50,9900,11,6,1.4
26/03/2023,12:52,10000,7,15,1.0
26/03/2023,12:53,10100,5,18,1.0
26/03/2023,12:55,10200,16,8,1.0
26/03/2023,12:57,10300,4,12,1.1
26/03/2023,12:59,10400,14,5,1.1
26/03/2023,13:00,10500,10,7,1.1
26/03/2023,13:03,10600,8,14,1.2
26/03/2023,13:05,10700,6,9,1.3
26/03/2023,13:07,10800,9,7,1.2
26/03/2023,13:10,10900,9,6,2.2
26/03/2023,13:15,11000,6,14,2.8
26/03/2023,13:19,11100,7,11,2.6
26/03/2023,13:22,11200,4,12,1.6
26/03/2023,13:25,11300,6,11,1.6
26/03/2023,13:29,11400,9,7,2.4
26/03/2023,13:33,11500,8,8,2.8
26/03/2023,13:38,11600,11,12,2.6
26/03/2023,13:39,11700,7,11,1.0
26/03/2023,13:41,11800,5,18,1.0
26/03/2023,13:43,11900,5,16,1.0
26/03/2023,13:45,12000,7,8,1.1
26/03/2023,13:46,12100,9,10,1.0
26/03/2023,13:48,12200,11,5,1.0
26/03/2023,13:50,12300,5,15,1.0
26/03/2023,13:52,12400,10,9,1.0
26/03/2023,13:53,12500,4,10,1.0
26/03/2023,13:55,12600,10,11,1.0
26/03/2023,13:57,12700,10,9,1.0
26/03/2023,13:59,12800,10,10,1.3
26/03/2023,14:01,12900,6,10,1.2
26/03/2023,14:03,13000,7,9,1.3
26/03/2023,14:04,13100,9,5,0.7
26/03/2023,14:05,13200,8,10,0.7
26/03/2023,14:06,13300,6,5,0.7
26/03/2023,14:07,13400,5,9,0.7
26/03/2023,14:09,13500,5,15,0.7
26/03/2023,14:10,13600,7,10,0.7
26/03/2023,14:11,13700,6,11,1.1
26/03/2023,14:13,13800,7,11,0.8
26/03/2023,14:14,13900,9,9,0.8
26/03/2023,14:15,14000,10,13,0.7
26/03/2023,14:17,14100,9,14,0.8
26/03/2023,14:18,14200,9,13,0.8
26/03/2023,14:19,14300,11,8,0.7
26/03/2023,14:20,14400,5,16,0.7
26/03/2023,14:21,14500,7,13,0.8
26/03/2023,14:23,14600,8,13,0.8
03/04/2023,20:18,14700,32,8,1.0
03/04/2023,20:20,14800,27,13,1.0
03/04/2023,20:22,14900,29,9,1.1
03/04/2023,20:23,15000,41,4,1.0
03/04/2023,20:25,15100,39,18,1.2
03/04/2023,20:28,15200,39,23,1.3
03/04/2023,20:30,15300,42,26,1.2
03/04/2023,20:32,15400,53,26,1.2
03/04/2023,20:33,15500,42,24,1.0
03/04/2023,20:35,15600,48,34,1.0
03/04/2023,20:37,15700,45,41,1.1
03/04/2023,20:39,15800,46,32,1.0
03/04/2023,20:40,15900,48,28,1.1
03/04/2023,20:42,16000,53,27,1.0
03/04/2023,20:44,16100,42,34,1.0
03/04/2023,20:46,16200,43,35,1.1
03/04/2023,20:47,16300,47,35,1.0
03/04/2023,20:49,16400,51,32,1.1
03/04/2023,20:51,16500,53,27,1.1